type,name,ability
Townsfolk,Acrobat,"Each night*, choose a player: if they are or become drunk or poisoned tonight, you die."
Townsfolk,Alchemist,"You have a Minion ability. When using this, the Storyteller may prompt you to choose differently."
Townsfolk,Alsaahir,"Each day, if you publicly guess which players are Minion(s) and which are Demon(s), good wins."
Townsfolk,Amnesiac,"You do not know what your ability is. Each day, privately guess what it is: you learn how accurate you are."
Townsfolk,Artist,"Once per game, during the day, privately ask the Storyteller any yes/no question."
Townsfolk,Balloonist,"Each night, you learn a player of a different character type than last night. [+0 or +1 Outsider]"
Townsfolk,Banshee,"If the Demon kills you, all players learn this. From now on, you may nominate twice per day and vote twice per nomination."
Townsfolk,Bounty Hunter,"You start knowing 1 evil player. If the player you know dies, you learn another evil player tonight. [1 Townsfolk is evil]"
Townsfolk,Cannibal,"You have the ability of the recently killed executee. If they are evil, you are poisoned until a good player dies by execution."
Townsfolk,Chambermaid,"Each night, choose 2 alive players (not yourself): you learn how many woke tonight due to their ability."
Townsfolk,Chef,"You start knowing how many pairs of evil players there are."
Townsfolk,Choirboy,"If the Demon kills the King, you learn which player is the Demon. [+the King]"
Townsfolk,Clockmaker,"You start knowing how many steps from the Demon to its nearest Minion."
Townsfolk,Courtier,"Once per game, at night, choose a character: they are drunk for 3 nights & 3 days."
Townsfolk,Cult Leader,"Each night, you become the alignment of an alive neighbor. If all good players choose to join your cult, your team wins."
Townsfolk,Dreamer,"Each night, choose a player (not yourself or Travellers): you learn 1 good & 1 evil character, 1 of which is correct."
Townsfolk,Empath,"Each night, you learn how many of your 2 alive neighbors are evil."
Townsfolk,Exorcist,"Each night*, choose a player (different to last night): the Demon, if chosen, learns who you are then doesn't wake tonight."
Townsfolk,Farmer,"When you die at night, an alive good player becomes a Farmer."
Townsfolk,Fisherman,"Once per game, during the day, visit the Storyteller for some advice to help your team win."
Townsfolk,Flowergirl,"Each night*, you learn if a Demon voted today."
Townsfolk,Fool,"The 1st time you die, you don't."
Townsfolk,Fortune Teller,"Each night, choose 2 players: you learn if either is a Demon. There is a good player that registers as a Demon to you."
Townsfolk,Gambler,"Each night*, choose a player & guess their character: if you guess wrong, you die."
Townsfolk,General,"Each night, you learn which alignment the Storyteller believes is winning: good, evil, or neither."
Townsfolk,Gossip,"Each day, you may make a public statement. Tonight, if it was true, a player dies."
Townsfolk,Grandmother,"You start knowing a good player & their character. If the Demon kills them, you die too."
Townsfolk,High Priestess,"Each night, learn which player the Storyteller believes you should talk to most."
Townsfolk,Huntsman,"Once per game, at night, choose a living player: the Damsel, if chosen, becomes a not-in-play Townsfolk. [+the Damsel]"
Townsfolk,Innkeeper,"Each night*, choose 2 players: they can't die tonight, but 1 is drunk until dusk."
Townsfolk,Investigator,"You start knowing that 1 of 2 players is a particular Minion."
Townsfolk,Juggler,"On your 1st day, publicly guess up to 5 players' characters. That night, you learn how many you got correct."
Townsfolk,King,"Each night, if the dead equal or outnumber the living, you learn 1 alive character. The Demon knows you are the King."
Townsfolk,Knight,"You start knowing 2 players that are not the Demon."
Townsfolk,Librarian,"You start knowing that 1 of 2 players is a particular Outsider. (Or that zero are in play.)"
Townsfolk,Lycanthrope,"Each night*, choose an alive player. If good, they die & the Demon doesn't kill tonight. One good player registers as evil."
Townsfolk,Magician,"The Demon thinks you are a Minion. Minions think you are a Demon."
Townsfolk,Mathematician,"Each night, you learn how many players' abilities worked abnormally (since dawn) due to another character's ability."
Townsfolk,Mayor,"If only 3 players live & no execution occurs, your team wins. If you die at night, another player might die instead."
Townsfolk,Minstrel,"When a Minion dies by execution, all other players (except Travellers) are drunk until dusk tomorrow."
Townsfolk,Monk,"Each night*, choose a player (not yourself): they are safe from the Demon tonight."
Townsfolk,Nightwatchman,"Once per game, at night, choose a player: they learn you are the Nightwatchman."
Townsfolk,Noble,"You start knowing 3 players, 1 and only 1 of which is evil."
Townsfolk,Oracle,"Each night*, you learn how many dead players are evil."
Townsfolk,Pacifist,"Executed good players might not die."
Townsfolk,Philosopher,"Once per game, at night, choose a good character: gain that ability. If this character is in play, they are drunk."
Townsfolk,Pixie,"You start knowing 1 in-play Townsfolk. If you were mad that you were this character, you gain their ability when they die."
Townsfolk,Poppy Grower,"Minions & Demons do not know each other. If you die, they learn who each other are that night."
Townsfolk,Preacher,"Each night, choose a player: a Minion, if chosen, learns this. All chosen Minions have no ability."
Townsfolk,Professor,"Once per game, at night*, choose a dead player: if they are a Townsfolk, they are resurrected."
Townsfolk,Ravenkeeper,"If you die at night, you are woken to choose a player: you learn their character."
Townsfolk,Sage,"If the Demon kills you, you learn that it is 1 of 2 players."
Townsfolk,Sailor,"Each night, choose an alive player: either you or they are drunk until dusk. You can't die."
Townsfolk,Savant,"Each day, you may visit the Storyteller to learn 2 things in private: 1 is true & 1 is false."
Townsfolk,Seamstress,"Once per game, at night, choose 2 players (not yourself): you learn if they are the same alignment."
Townsfolk,Shugenja,"You start knowing if your closest evil player is clockwise or anti-clockwise. If equidistant, this info is arbitrary."
Townsfolk,Slayer,"Once per game, during the day, publicly choose a player: if they are the Demon, they die."
Townsfolk,Snake Charmer,"Each night, choose an alive player: a chosen Demon swaps characters & alignments with you & is then poisoned."
Townsfolk,Soldier,"You are safe from the Demon."
Townsfolk,Steward,"You start knowing 1 good player."
Townsfolk,Tea Lady,"If both your alive neighbors are good, they can't die."
Townsfolk,Town Crier,"Each night*, you learn if a Minion nominated today."
Townsfolk,Undertaker,"Each night*, you learn which character died by execution today."
Townsfolk,Village Idiot,"Each night, choose a player: you learn their alignment. [+0 to +2 Village Idiots. 1 of the extras is drunk]"
Townsfolk,Virgin,"The 1st time you are nominated, if the nominator is a Townsfolk, they are executed immediately."
Townsfolk,Washerwoman,"You start knowing that 1 of 2 players is a particular Townsfolk."
Outsider,Barber,"If you died today or tonight, the Demon may choose 2 players (not another Demon) to swap characters."
Outsider,Butler,"Each night, choose a player (not yourself): tomorrow, you may only vote if they are voting too."
Outsider,Damsel,"All Minions know a Damsel is in play. If a Minion publicly guesses you (once), your team loses."
Outsider,Drunk,"You do not know you are the Drunk. You think you are a Townsfolk character, but you are not."
Outsider,Golem,"You may only nominate once per game. When you do, if the nominee is not the Demon, they die."
Outsider,Goon,"Each night, the 1st player to choose you with their ability is drunk until dusk. You become their alignment."
Outsider,Hatter,"If you died today or tonight, the Minion & Demon players may choose new Minion & Demon characters to be."
Outsider,Heretic,"Whoever wins, loses & whoever loses, wins, even if you are dead."
Outsider,Klutz,"When you learn that you died, publicly choose 1 alive player: if they are evil, your team loses."
Outsider,Lunatic,"You think you are a Demon, but you are not. The Demon knows who you are & who you choose at night."
Outsider,Moonchild,"When you learn that you died, publicly choose 1 alive player. Tonight, if it was a good player, they die."
Outsider,Mutant,"If you are 'mad' about being an Outsider, you might be executed."
Outsider,Ogre,"On your 1st night, choose a player (not yourself): you become their alignment (you don't know which) even if drunk or poisoned."
Outsider,Plague Doctor,"When you die, the Storyteller gains a Minion ability."
Outsider,Politician,"If you were the player most responsible for your team losing, you change alignment & win, even if dead."
Outsider,Puzzlemaster,"1 player is drunk, even if you die. If you guess (once) who it is, learn the Demon player, but guess wrong & get false info."
Outsider,Recluse,"You might register as evil & as a Minion or Demon, even if dead."
Outsider,Saint,"If you die by execution, your team loses."
Outsider,Snitch,"Each Minion gets 3 bluffs."
Outsider,Sweetheart,"When you die, 1 player is drunk from now on."
Outsider,Tinker,"You might die at any time."
Outsider,Zealot,"If there are 5 or more players alive, you must vote for every nomination."
Minion,Assassin,"Once per game, at night*, choose a player: they die, even if for some reason they could not."
Minion,Baron,"There are extra Outsiders in play. [+2 Outsiders]"
Minion,Boffin,"The Demon (even if drunk or poisoned) has a not-in-play good character's ability. You both know which."
Minion,Boomdandy,"If you are executed, all but 3 players die. After a 10 to 1 countdown, the player with the most players pointing at them, dies."
Minion,Cerenovus,"Each night, choose a player & a good character: they are 'mad' they are this character tomorrow, or might be executed."
Minion,Devil's Advocate,"Each night, choose a living player (different to last night): if executed tomorrow, they don't die."
